Bandwidth,ZeroCrossingRate,SilenceRatio,RMS,Energy,EnergyDistribution,SpectralCentroid,SpectralBandwidth,SpectralContrast,SpectralFlatness,isMusic
7853.824939,0.461880869,0.010828076,0.068459958,0.00533641,0.303405447,4721.134843,1900.683869,24.31668739,0.001454721,1
7549.585596,0.140851937,1.13E-05,0.022601983,0.000552307,0.459314648,2884.484915,1954.387743,26.71415298,0.040012937,1
7586.594593,0.163259296,0.001449784,0.0081922,8.79E-05,0.14004256,2999.569565,2303.008629,26.13184404,0.003574901,1
7763.25,0.392845805,0.000963719,0.023077348,0.00101866,0.27311919,4278.24041,1854.854142,24.17064242,0.004451321,1
7719.587524,0.26837039,0.002222247,0.016049208,0.000293381,0.375170363,3287.706181,2244.308492,25.28391235,0.005713896,1
7770.588102,0.297316296,0.000578238,0.021985758,0.000594848,0.470397157,3561.077533,2114.788534,22.19224823,0.006646501,1
7639.5,0.231643991,0.026428571,0.011970633,0.000163939,0.135735052,2958.822688,1859.344852,23.49654113,0.003124504,1
7714.75,0.265385488,0.019240363,0.044472981,0.002389943,0.362037442,3239.252758,1806.907708,25.06937387,0.001151272,1
7874.5,0.396870748,0.008163265,0.077831194,0.006630655,0.386663123,4389.119248,2214.90869,24.69441597,0.003049372,1
7653.5,0.329013605,0.014829932,0.017570682,0.000330731,0.086557512,3777.1501,1761.096259,23.10555163,0.00220385,1
7688,0.31755102,0.005986395,0.016954871,0.000477408,0.192155336,3871.429279,1968.457306,25.95315341,0.00977337,1
7750.337872,0.333529859,0.001315208,0.021752806,0.000579395,0.303572054,3786.796592,1984.182067,25.4237494,0.006547468,1
7651.5,0.322040816,0.001077098,0.007052925,7.54E-05,0.058025045,3861.032706,2061.559993,26.72238076,0.002727018,1
7702.087325,0.28155648,0.001848094,0.018797409,0.000384414,0.21631418,3527.245246,2054.715809,25.40302296,0.004663699,1
7679.337067,0.267644758,0.00735836,0.02165702,0.000488228,0.438454897,3310.010574,2037.957735,23.84414167,0.004481171,1
7568.25,0.283027211,0.003015873,0.006554715,4.93E-05,0.110538866,3522.160642,1979.04285,27.50228491,0.003423851,1
7733.587682,0.288019139,0.002653091,0.019248059,0.000500239,0.256612675,3540.708464,2017.63918,25.45172678,0.008807009,1
7500.585041,0.223823399,0.009807367,0.006310599,4.74E-05,0.038008489,3095.736474,2014.916321,24.99809964,0.003375719,1
7643.287386,0.383988945,0.013863562,0.013899295,0.000202942,0.127261384,4104.104866,2011.694658,24.3494597,0.002173904,1
7669.011428,0.424775453,0.00200478,0.010040499,0.000104495,0.121090038,4296.796037,2132.873619,23.50013255,0.005580392,1
7593.25,0.279501134,0.002517007,0.005826634,7.01E-05,0.043782567,3644.896045,2023.355748,23.81456241,0.004168455,0
7894.75,0.202959184,1.13E-05,0.035463583,0.001870339,0.557979411,3097.601787,2083.071023,22.34843334,0.005594979,0
7575.25,0.272380952,0.009058957,0.004769682,4.12E-05,0.014181889,3668.845841,2005.101482,23.77200455,0.005632195,0
7809.75,0.275634921,0.003185941,0.022810997,0.00065754,0.139310443,3674.894887,1999.818756,24.0969659,0.003281649,0
7822,0.161451247,0.007947846,0.039503086,0.002054117,0.479779875,2858.428189,2107.687389,22.85867305,0.002247184,0
6077.617257,0.228975297,0.004507923,0.018121898,0.000464578,0.48037066,2683.721756,1426.024356,22.70088131,0.004328279,0
7663.5,0.255464853,0.004535147,0.011693238,0.000245808,0.493680799,3232.514534,1961.428441,22.26268462,0.006514904,0
7766,0.38654195,0.006281179,0.093382798,0.011127797,0.294513758,4309.996742,1842.903616,24.88058779,0.0015712,0
7789.75,0.399988662,0.007970522,0.114858627,0.015380281,0.407472424,4351.756816,1895.451667,25.14498238,0.001224705,0
6108.336259,0.214284905,0.008256974,0.009837325,0.000138353,0.122579438,2494.495493,1575.706794,21.14118233,0.005430707,0
7762.916671,0.261176364,0.005742505,0.012470477,0.000434698,0.066846943,3447.15304,2116.417714,24.55668119,0.003603316,0
7555,0.256530612,0.000181406,0.004556259,4.64E-05,0.187352955,3422.711305,2099.068357,23.15497099,0.012094452,0
6035.659595,0.142871705,2.27E-05,0.013484305,0.000223276,0.827935208,2062.418852,1466.615209,21.92413701,0.009163462,0
7522.25,0.240997732,0.004875283,0.005122565,5.40E-05,0.048813768,3368.928792,2025.161098,22.95739334,0.006906196,0
7890.25,0.222947846,1.13E-05,0.032685533,0.001452396,0.504730655,3200.259921,2075.872937,22.3738293,0.010440706,0
7647,0.276326531,0.012142857,0.007936714,0.000114133,0.06113737,3787.674766,2015.193017,24.4398739,0.004742559,0
5754.193614,0.16226257,0.006036992,0.002495584,8.92E-06,0.054979633,2192.583952,1637.03978,21.49103908,0.003818561,0
7666,0.177664399,0.001802721,0.015869938,0.000376064,0.571363603,2837.681265,1955.954085,23.88941218,0.004366039,0
6013.681772,0.13382188,0.021939313,0.01543546,0.000293232,0.250190713,1862.873312,1379.954515,22.83802266,0.001756176,0
7816.25,0.185793651,5.67E-05,0.035090998,0.001638169,0.562490638,3001.344057,2107.700695,22.30742581,0.01044207,0
