Bandwidth,ZeroCrossingRate,SilenceRatio,RMS,Energy,EnergyDistribution,SpectralCentroid,SpectralBandwidth,SpectralContrast,SpectralFlatness,isMusic
10186.36667,0.116740741,0.00773545,0.009229474,0.000124932,0.98752407,2022.792982,1915.541074,22.70133869,0.04238487,1
10356.11667,0.131331822,0.008275132,0.009940423,0.000147571,0.982270569,2256.522841,2073.146567,23.00397707,0.009308028,1
10356.35,0.128216175,0.007846561,0.0084793,0.000119743,0.984830061,2205.750211,2041.936455,22.85863915,0.009466519,1
10027.36667,0.087557823,0.000432351,0.005058375,8.73E-05,0.981348708,1619.137227,1776.548987,21.22856855,0.08179527,1
10284.2,0.099717309,0.00243613,0.009389535,0.000151687,0.978701139,1551.666166,1490.755523,23.81422162,0.001545458,1
10221.85,0.11217158,0.00202192,0.011665199,0.000208063,0.977899395,1740.350767,1607.883254,23.17394712,0.002850578,1
10384.18333,0.110933485,0.001583522,0.010740296,0.000211143,0.975647712,1759.734632,1652.831833,23.40217354,0.006408151,1
10176.9,0.111743008,0.000547997,0.011583875,0.000209162,0.981058681,1593.684269,1446.54469,23.95454876,0.001584331,1
10511.41667,0.116465608,0.000899471,0.014008264,0.000301269,0.979051168,1648.776917,1437.79911,23.93620377,0.001722729,1
10174.13334,0.109942555,0.000739985,0.011937143,0.000255851,0.980019014,1626.133328,1470.396003,23.67434927,0.002066154,1
10181.95,0.1115548,0.001557823,0.011184257,0.00019693,0.977762132,1603.397117,1469.543343,23.53377296,0.002002196,1
10512.16667,0.122832955,0.002146636,0.014761483,0.0003046,0.978011353,1728.584154,1446.133778,23.96419483,0.001503522,1
10302.13332,0.113150416,0.00108768,0.011561898,0.000213085,0.985270018,1720.231999,1610.042735,23.21481819,0.002809176,1
10583.06667,0.160157974,0.001884354,0.01711153,0.000681884,0.992336834,3101.017683,2733.781519,20.78970667,0.06260286,1
